hvfhs_license_num,dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
HV0003,B02682,2021-01-01 00:33:44,2021-01-01 00:49:07,230,166,
HV0003,B02682,2021-01-01 00:55:19,2021-01-01 01:18:21,152,167,
HV0003,B02764,2021-01-01 00:23:56,2021-01-01 00:38:05,233,142,
HV0003,B02764,2021-01-01 00:42:51,2021-01-01 00:45:50,142,143,
HV0003,B02764,2021-01-01 00:48:14,2021-01-01 01:08:42,143,78,
HV0005,B02510,2021-01-01 00:06:59,2021-01-01 00:43:01,88,42,
HV0005,B02510,2021-01-01 00:50:00,2021-01-01 01:04:57,42,151,
HV0003,B02764,2021-01-01 00:14:30,2021-01-01 00:50:27,71,226,
HV0003,B02875,2021-01-01 00:22:54,2021-01-01 00:30:20,112,255,
HV0003,B02875,2021-01-01 00:40:12,2021-01-01 00:53:31,255,232,
HV0003,B02875,2021-01-01 00:56:45,2021-01-01 01:17:42,232,198,
HV0003,B02835,2021-01-01 00:29:04,2021-01-01 00:36:27,113,48,
HV0003,B02835,2021-01-01 00:48:56,2021-01-01 00:59:12,239,75,
HV0004,B02800,2021-01-01 00:15:24,2021-01-01 00:38:31,181,237,
HV0004,B02800,2021-01-01 00:45:00,2021-01-01 01:06:45,236,68,
HV0003,B02682,2021-01-01 00:11:53,2021-01-01 00:18:06,256,148,
HV0003,B02682,2021-01-01 00:28:31,2021-01-01 00:41:40,79,80,
HV0003,B02682,2021-01-01 00:50:49,2021-01-01 00:55:59,17,217,
HV0005,B02510,2021-01-01 00:08:40,2021-01-01 00:39:39,62,29,
HV0003,B02836,2021-01-01 00:53:48,2021-01-01 01:11:40,22,22,
HV0005,B02510,2021-01-01 00:22:24,2021-01-01 00:36:23,92,191,
HV0005,B02510,2021-01-01 00:40:55,2021-01-01 00:52:38,191,203,
HV0003,B02836,2021-01-01 00:36:21,2021-01-01 00:57:41,146,129,
HV0003,B02512,2021-01-01 00:14:21,2021-01-01 00:21:16,37,225,
HV0003,B02512,2021-01-01 00:26:37,2021-01-01 01:08:20,225,47,
HV0003,B02764,2021-01-01 00:19:11,2021-01-01 00:33:49,81,32,
HV0003,B02764,2021-01-01 00:39:51,2021-01-01 00:58:51,32,126,
HV0005,B02510,2021-01-01 00:11:59,2021-01-01 00:32:27,119,75,
HV0005,B02510,2021-01-01 00:39:10,2021-01-01 01:01:57,75,129,
HV0005,B02510,2021-01-01 00:14:44,2021-01-01 00:37:27,205,95,
HV0005,B02510,2021-01-01 00:45:29,2021-01-01 01:09:46,82,244,
HV0003,B02764,2021-01-01 00:06:49,2021-01-01 00:20:07,138,42,
HV0003,B02764,2021-01-01 00:27:12,2021-01-01 00:47:00,42,182,
HV0003,B02764,2021-01-01 00:52:12,2021-01-01 01:06:40,250,32,
HV0005,B02510,2021-01-01 00:19:55,2021-01-01 00:32:17,50,244,
HV0005,B02510,2021-01-01 00:41:10,2021-01-01 00:53:11,244,116,
HV0005,B02510,2021-01-01 00:57:33,2021-01-01 01:10:19,116,168,
HV0003,B02872,2021-01-01 00:17:19,2021-01-01 00:27:08,234,170,
HV0003,B02872,2021-01-01 00:50:50,2021-01-01 01:00:05,66,4,
HV0003,B02764,2021-01-01 00:18:42,2021-01-01 00:33:23,113,237,
HV0003,B02764,2021-01-01 00:38:27,2021-01-01 00:48:48,237,107,
HV0003,B02682,2021-01-01 00:12:14,2021-01-01 00:26:11,39,71,
HV0003,B02682,2021-01-01 00:35:20,2021-01-01 00:44:08,91,89,
HV0003,B02682,2021-01-01 00:46:07,2021-01-01 00:53:32,89,89,
HV0003,B02682,2021-01-01 00:58:40,2021-01-01 01:04:40,165,165,
HV0003,B02872,2021-01-01 00:37:20,2021-01-01 00:46:03,234,144,
HV0003,B02872,2021-01-01 00:56:54,2021-01-01 01:23:17,87,7,
HV0005,B02510,2021-01-01 00:32:47,2021-01-01 01:20:32,209,265,
HV0003,B02888,2021-01-01 00:14:30,2021-01-01 00:36:50,48,224,
HV0003,B02888,2021-01-01 00:45:14,2021-01-01 00:51:02,229,140,
HV0003,B02888,2021-01-01 00:58:14,2021-01-01 01:05:29,262,263,
HV0005,B02510,2021-01-01 00:47:11,2021-01-01 01:10:29,230,265,
HV0003,B02617,2021-01-01 00:19:00,2021-01-01 00:31:44,14,97,
HV0003,B02617,2021-01-01 00:41:04,2021-01-01 01:06:28,148,36,
HV0003,B02836,2021-01-01 00:35:37,2021-01-01 01:00:46,256,91,
HV0005,B02510,2021-01-01 00:32:35,2021-01-01 00:43:30,37,148,
HV0005,B02510,2021-01-01 00:48:30,2021-01-01 01:11:53,148,223,
HV0003,B02764,2021-01-01 00:23:12,2021-01-01 00:30:18,250,213,
HV0003,B02764,2021-01-01 00:33:48,2021-01-01 00:45:38,213,126,
HV0003,B02764,2021-01-01 00:49:30,2021-01-01 01:05:26,126,247,
HV0004,B02800,2021-01-01 00:06:06,2021-01-01 00:19:55,168,75,
HV0004,B02800,2021-01-01 00:28:06,2021-01-01 00:40:46,151,143,
HV0004,B02800,2021-01-01 00:53:48,2021-01-01 01:13:37,116,263,
HV0005,B02510,2021-01-01 00:12:34,2021-01-01 00:29:19,232,68,
HV0005,B02510,2021-01-01 00:33:30,2021-01-01 00:46:06,68,161,
HV0005,B02510,2021-01-01 00:46:19,2021-01-01 00:55:26,168,42,
HV0005,B02510,2021-01-01 00:59:50,2021-01-01 01:15:15,116,242,
HV0003,B02864,2021-01-01 00:22:22,2021-01-01 00:49:03,256,35,
HV0003,B02764,2021-01-01 00:08:27,2021-01-01 00:25:17,112,36,
HV0003,B02764,2021-01-01 00:27:44,2021-01-01 01:02:46,36,247,
HV0003,B02764,2021-01-01 00:55:23,2021-01-01 01:15:07,233,265,
HV0003,B02872,2021-01-01 00:05:04,2021-01-01 00:25:52,245,22,
HV0003,B02872,2021-01-01 00:37:19,2021-01-01 00:50:12,22,227,
HV0003,B02872,2021-01-01 00:56:08,2021-01-01 01:32:49,228,250,
HV0005,B02510,2021-01-01 00:40:04,2021-01-01 00:58:03,232,238,
HV0003,B02877,2021-01-01 00:36:20,2021-01-01 01:14:59,230,186,
HV0004,B02800,2021-01-01 00:28:43,2021-01-01 00:47:00,4,145,
HV0004,B02800,2021-01-01 00:51:39,2021-01-01 01:02:52,145,146,
HV0003,B02889,2021-01-01 00:19:21,2021-01-01 00:46:32,185,116,
HV0003,B02889,2021-01-01 00:50:12,2021-01-01 01:05:42,116,242,
HV0005,B02510,2021-01-01 00:12:22,2021-01-01 00:22:25,148,79,
HV0005,B02510,2021-01-01 00:27:03,2021-01-01 00:46:57,4,265,
HV0003,B02889,2021-01-01 00:10:34,2021-01-01 00:15:31,80,255,
HV0003,B02889,2021-01-01 00:23:56,2021-01-01 00:31:22,255,80,
HV0003,B02889,2021-01-01 00:33:57,2021-01-01 00:37:31,80,80,
HV0003,B02889,2021-01-01 00:41:01,2021-01-01 00:53:33,80,226,
HV0005,B02510,2021-01-01 00:25:45,2021-01-01 00:35:41,209,137,
HV0005,B02510,2021-01-01 00:42:23,2021-01-01 01:01:28,4,49,
HV0005,B02510,2021-01-01 00:42:26,2021-01-01 01:11:38,71,77,
HV0003,B02512,2021-01-01 00:05:32,2021-01-01 00:17:36,35,72,
HV0003,B02764,2021-01-01 00:46:23,2021-01-01 00:52:15,113,148,
HV0003,B02764,2021-01-01 00:59:10,2021-01-01 01:08:09,211,66,
HV0003,B02876,2021-01-01 00:13:51,2021-01-01 00:20:26,17,61,
HV0003,B02876,2021-01-01 00:36:01,2021-01-01 00:56:18,256,13,
HV0003,B02872,2021-01-01 00:17:32,2021-01-01 00:33:42,90,87,
HV0003,B02872,2021-01-01 00:47:50,2021-01-01 01:03:45,231,141,
HV0005,B02510,2021-01-01 00:15:03,2021-01-01 00:41:05,48,97,
HV0005,B02510,2021-01-01 00:47:09,2021-01-01 01:05:40,97,231,
HV0005,B02510,2021-01-01 00:09:53,2021-01-01 00:49:57,61,117,
HV0005,B02510,2021-01-01 00:52:59,2021-01-01 01:27:18,117,76,
HV0003,B02764,2021-01-01 00:42:10,2021-01-01 00:46:56,7,7,
HV0003,B02764,2021-01-01 00:49:48,2021-01-01 01:16:16,7,18,
HV0003,B02864,2021-01-01 00:29:56,2021-01-01 00:43:49,75,168,
HV0003,B02864,2021-01-01 00:50:03,2021-01-01 01:07:53,159,242,
HV0003,B02764,2021-01-01 00:33:14,2021-01-01 00:40:00,140,263,
HV0003,B02764,2021-01-01 00:48:31,2021-01-01 01:01:57,75,69,
HV0003,B02876,2021-01-01 00:32:06,2021-01-01 00:37:59,71,71,
HV0003,B02876,2021-01-01 00:45:16,2021-01-01 00:53:49,71,91,
HV0005,B02510,2021-01-01 00:15:57,2021-01-01 00:36:06,97,249,
HV0005,B02510,2021-01-01 00:30:26,2021-01-01 00:44:43,209,170,
HV0005,B02510,2021-01-01 00:57:21,2021-01-01 01:08:08,234,48,
HV0005,B02510,2021-01-01 00:20:52,2021-01-01 00:52:41,21,37,
HV0005,B02510,2021-01-01 00:57:25,2021-01-01 01:12:14,37,49,
HV0003,B02876,2021-01-01 00:34:27,2021-01-01 00:46:36,222,130,
HV0003,B02877,2021-01-01 00:22:51,2021-01-01 00:33:48,227,67,
HV0003,B02877,2021-01-01 00:38:02,2021-01-01 00:45:01,22,14,
HV0003,B02877,2021-01-01 00:52:53,2021-01-01 01:26:18,67,265,
HV0003,B02889,2021-01-01 00:09:37,2021-01-01 00:25:18,133,87,
HV0003,B02889,2021-01-01 00:30:50,2021-01-01 00:43:02,87,233,
HV0003,B02889,2021-01-01 00:53:30,2021-01-01 01:00:16,107,164,
HV0003,B02765,2021-01-01 00:13:42,2021-01-01 00:20:38,216,216,
HV0003,B02765,2021-01-01 00:27:56,2021-01-01 00:34:35,197,258,
HV0003,B02765,2021-01-01 00:38:59,2021-01-01 01:04:52,197,186,
HV0005,B02510,2021-01-01 00:58:00,2021-01-01 01:06:57,237,79,
HV0003,B02395,2021-01-01 00:25:59,2021-01-01 00:32:25,85,85,
HV0003,B02395,2021-01-01 00:37:13,2021-01-01 01:11:19,85,38,
HV0005,B02510,2021-01-01 00:21:22,2021-01-01 00:24:37,263,140,
HV0005,B02510,2021-01-01 00:28:58,2021-01-01 00:43:16,140,236,
HV0005,B02510,2021-01-01 00:49:18,2021-01-01 00:56:14,74,74,
HV0005,B02510,2021-01-01 00:07:04,2021-01-01 00:23:08,79,234,
HV0005,B02510,2021-01-01 00:39:13,2021-01-01 01:00:51,224,143,
HV0003,B02871,2021-01-01 00:56:01,2021-01-01 01:09:19,17,255,
HV0005,B02510,2021-01-01 00:11:50,2021-01-01 00:32:51,41,167,
HV0005,B02510,2021-01-01 00:40:24,2021-01-01 00:52:55,47,42,
HV0005,B02510,2021-01-01 00:58:44,2021-01-01 01:18:00,42,226,
HV0005,B02510,2021-01-01 00:19:54,2021-01-01 00:58:06,230,87,
HV0005,B02510,2021-01-01 00:32:25,2021-01-01 00:46:36,148,68,
HV0003,B02764,2021-01-01 00:50:42,2021-01-01 01:11:07,68,112,
HV0005,B02510,2021-01-01 00:23:58,2021-01-01 00:31:20,263,140,
HV0005,B02510,2021-01-01 00:38:50,2021-01-01 00:51:59,262,143,
HV0005,B02510,2021-01-01 00:07:35,2021-01-01 00:15:24,68,68,
HV0005,B02510,2021-01-01 00:30:53,2021-01-01 00:46:00,68,79,
HV0005,B02510,2021-01-01 00:49:10,2021-01-01 01:00:51,79,45,
HV0005,B02510,2021-01-01 00:49:52,2021-01-01 01:01:22,231,137,
HV0003,B02617,2021-01-01 00:16:28,2021-01-01 00:32:33,238,153,
HV0003,B02617,2021-01-01 00:37:15,2021-01-01 00:43:54,153,243,
HV0003,B02617,2021-01-01 00:47:38,2021-01-01 01:01:32,127,74,
HV0003,B02682,2021-01-01 00:09:54,2021-01-01 00:16:04,48,143,
HV0003,B02682,2021-01-01 00:17:48,2021-01-01 00:31:58,143,42,
HV0003,B02682,2021-01-01 00:35:52,2021-01-01 00:55:05,42,250,
HV0003,B02869,2021-01-01 00:05:59,2021-01-01 00:14:38,76,77,
HV0003,B02869,2021-01-01 00:21:41,2021-01-01 00:51:16,77,126,
HV0003,B02869,2021-01-01 00:55:36,2021-01-01 01:09:13,126,213,
HV0003,B02866,2021-01-01 00:54:24,2021-01-01 01:11:15,79,255,
HV0003,B02869,2021-01-01 00:23:05,2021-01-01 00:29:40,37,37,
HV0003,B02869,2021-01-01 00:31:47,2021-01-01 00:45:23,37,17,
HV0003,B02869,2021-01-01 00:51:41,2021-01-01 00:57:38,61,225,
HV0005,B02510,2021-01-01 00:12:26,2021-01-01 00:22:22,224,170,
HV0005,B02510,2021-01-01 00:28:38,2021-01-01 00:58:02,186,60,
HV0003,B02889,2021-01-01 00:15:56,2021-01-01 00:26:18,164,141,
HV0003,B02889,2021-01-01 00:32:56,2021-01-01 00:40:34,140,75,
HV0003,B02889,2021-01-01 00:44:20,2021-01-01 00:58:36,75,45,
HV0003,B02682,2021-01-01 00:07:16,2021-01-01 00:55:45,152,177,
HV0003,B02682,2021-01-01 00:59:27,2021-01-01 01:08:33,177,76,
HV0005,B02510,2021-01-01 00:41:09,2021-01-01 01:06:35,132,74,
HV0003,B02864,2021-01-01 00:32:10,2021-01-01 00:38:54,125,13,
HV0003,B02864,2021-01-01 00:50:32,2021-01-01 01:00:56,13,224,
HV0005,B02510,2021-01-01 00:14:05,2021-01-01 00:31:57,119,75,
HV0005,B02510,2021-01-01 00:37:21,2021-01-01 00:51:10,74,169,
HV0005,B02510,2021-01-01 00:53:50,2021-01-01 01:01:55,169,94,
HV0003,B02764,2021-01-01 00:20:31,2021-01-01 00:26:40,91,71,
HV0003,B02764,2021-01-01 00:32:01,2021-01-01 00:43:23,89,72,
HV0003,B02764,2021-01-01 00:47:07,2021-01-01 00:51:17,72,72,
HV0003,B02764,2021-01-01 00:54:22,2021-01-01 01:17:04,72,76,
HV0003,B02836,2021-01-01 00:24:15,2021-01-01 00:40:35,151,229,
HV0003,B02836,2021-01-01 00:55:37,2021-01-01 01:11:04,237,226,
HV0005,B02510,2021-01-01 00:31:15,2021-01-01 00:36:46,249,186,
HV0005,B02510,2021-01-01 00:48:38,2021-01-01 01:29:35,48,265,
HV0003,B02835,2021-01-01 00:09:38,2021-01-01 00:18:42,127,244,
HV0003,B02835,2021-01-01 00:23:01,2021-01-01 00:28:24,243,127,
HV0003,B02835,2021-01-01 00:33:13,2021-01-01 00:49:39,127,212,
HV0003,B02835,2021-01-01 00:53:54,2021-01-01 01:06:47,212,168,
HV0005,B02510,2021-01-01 00:04:36,2021-01-01 00:17:11,52,255,
HV0005,B02510,2021-01-01 00:37:41,2021-01-01 01:06:04,112,36,
HV0005,B02510,2021-01-01 00:17:59,2021-01-01 00:26:04,78,167,
HV0005,B02510,2021-01-01 00:31:39,2021-01-01 00:41:12,167,213,
HV0003,B02764,2021-01-01 00:49:29,2021-01-01 01:01:12,212,167,
HV0003,B02835,2021-01-01 00:26:23,2021-01-01 01:16:47,68,14,
HV0003,B02869,2021-01-01 00:23:12,2021-01-01 00:35:36,262,168,
HV0003,B02869,2021-01-01 00:40:40,2021-01-01 00:53:07,69,127,
HV0003,B02869,2021-01-01 00:55:34,2021-01-01 01:15:13,127,265,
HV0003,B02764,2021-01-01 00:18:49,2021-01-01 00:50:25,211,254,
HV0003,B02764,2021-01-01 00:53:05,2021-01-01 01:04:18,32,18,
HV0003,B02867,2021-01-01 00:08:23,2021-01-01 00:18:26,188,89,
HV0005,B02510,2021-01-01 00:16:05,2021-01-01 00:37:28,73,258,
HV0003,B02877,2021-01-01 00:43:16,2021-01-01 00:51:51,258,134,
HV0003,B02877,2021-01-01 00:52:15,2021-01-01 01:11:06,134,82,
HV0005,B02510,2021-01-01 00:39:30,2021-01-01 01:03:12,37,36,
HV0003,B02869,2021-01-01 00:28:08,2021-01-01 00:34:49,256,37,
HV0005,B02510,2021-01-01 00:29:18,2021-01-01 00:35:58,17,225,
HV0005,B02510,2021-01-01 00:40:52,2021-01-01 01:02:01,225,40,
HV0005,B02510,2021-01-01 00:25:08,2021-01-01 00:43:42,75,244,
HV0005,B02510,2021-01-01 00:47:02,2021-01-01 00:56:12,244,244,
HV0003,B02875,2021-01-01 00:36:23,2021-01-01 00:49:11,234,143,
HV0003,B02875,2021-01-01 00:51:24,2021-01-01 01:01:19,143,230,
HV0003,B02836,2021-01-01 00:21:46,2021-01-01 00:38:08,80,36,
HV0003,B02836,2021-01-01 00:44:22,2021-01-01 01:15:07,198,239,
HV0005,B02510,2021-01-01 00:16:04,2021-01-01 00:24:19,181,40,
HV0005,B02510,2021-01-01 00:27:37,2021-01-01 00:31:33,52,54,
HV0005,B02510,2021-01-01 00:35:19,2021-01-01 00:47:53,52,181,
HV0005,B02510,2021-01-01 00:49:55,2021-01-01 01:00:41,181,40,
HV0003,B02617,2021-01-01 00:01:20,2021-01-01 00:07:39,151,238,
HV0003,B02617,2021-01-01 00:10:07,2021-01-01 00:19:39,238,75,
HV0003,B02617,2021-01-01 00:23:06,2021-01-01 00:52:07,75,18,
HV0003,B02617,2021-01-01 00:56:04,2021-01-01 01:15:16,241,51,
HV0003,B02764,2021-01-01 00:20:38,2021-01-01 00:29:26,259,81,
HV0003,B02764,2021-01-01 00:33:14,2021-01-01 00:38:06,254,259,
HV0003,B02764,2021-01-01 00:44:10,2021-01-01 00:49:45,81,81,
HV0003,B02764,2021-01-01 00:54:39,2021-01-01 01:05:22,3,32,
HV0005,B02510,2021-01-01 00:19:29,2021-01-01 00:32:22,239,116,
HV0005,B02510,2021-01-01 00:35:24,2021-01-01 00:53:31,116,18,
HV0005,B02510,2021-01-01 00:19:41,2021-01-01 00:34:50,141,143,
HV0003,B02764,2021-01-01 00:04:46,2021-01-01 00:11:58,79,141,
HV0003,B02764,2021-01-01 00:38:03,2021-01-01 00:42:18,143,142,
HV0003,B02764,2021-01-01 00:45:44,2021-01-01 00:56:29,142,41,
HV0003,B02764,2021-01-01 00:44:55,2021-01-01 00:57:11,74,42,
HV0005,B02510,2021-01-01 00:40:26,2021-01-01 00:51:37,80,36,
HV0005,B02510,2021-01-01 00:54:42,2021-01-01 01:01:15,36,36,
HV0005,B02510,2021-01-01 00:32:45,2021-01-01 00:59:46,130,232,
HV0003,B02764,2021-01-01 00:51:26,2021-01-01 00:54:29,170,170,
HV0003,B02765,2021-01-01 00:46:03,2021-01-01 01:21:10,230,71,
HV0003,B02888,2021-01-01 00:53:37,2021-01-01 01:06:05,87,80,
HV0003,B02884,2021-01-01 00:20:36,2021-01-01 00:43:17,238,265,
HV0003,B02875,2021-01-01 00:05:53,2021-01-01 00:13:52,97,189,
HV0003,B02765,2021-01-01 00:14:25,2021-01-01 00:22:03,164,158,
HV0003,B02765,2021-01-01 00:35:19,2021-01-01 01:04:12,249,85,
HV0005,B02510,2021-01-01 00:25:25,2021-01-01 00:56:51,48,181,
HV0003,B02764,2021-01-01 00:18:01,2021-01-01 00:38:52,74,163,
HV0003,B02764,2021-01-01 00:46:05,2021-01-01 00:56:03,230,237,
HV0003,B02872,2021-01-01 00:10:03,2021-01-01 00:16:12,202,179,
HV0003,B02872,2021-01-01 00:19:38,2021-01-01 00:39:17,179,157,
HV0003,B02872,2021-01-01 00:57:32,2021-01-01 01:08:36,37,36,
HV0003,B02395,2021-01-01 00:39:15,2021-01-01 00:54:19,223,7,
HV0003,B02875,2021-01-01 00:33:25,2021-01-01 01:07:43,33,24,
HV0003,B02879,2021-01-01 00:20:14,2021-01-01 00:31:48,169,168,
HV0003,B02879,2021-01-01 00:43:34,2021-01-01 00:51:23,168,159,
HV0003,B02879,2021-01-01 00:57:11,2021-01-01 01:07:30,168,126,
HV0003,B02866,2021-01-01 00:13:28,2021-01-01 00:31:48,49,37,
